ID,POS,Name,Age,Prone,INT,WE,B,T,POT,STU P,MOV P,CONT P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KNP,PIT,VELO,HLD,STM,KCP,Slot,PT,G/F,CON P,GAP P,POW P,EYE P,K P,C ABI,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,STE,RUN,DEM,Sign,SctAcc
54836,C,Eric Morales,22,Durable,Normal,Normal,S,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,FB,25,30,20,25,30,50,45,25,35,45,25,35,25,35,20,20,20,Slot,Very Easy,Very High
54885,SP,Albert Jimenez,22,Normal,Normal,Normal,L,L,20,25,25,20,30,25,-,30,-,30,-,-,-,-,-,4,83-85 Mph,75,60,-,Over the Top,Normal,FB,35,30,20,20,50,20,20,25,35,55,25,35,35,30,20,20,20,Slot,Very Easy,High
54893,SP,Isaac Woods,22,Durable,Normal,Low,R,R,20,30,25,25,-,-,45,35,-,-,40,-,-,-,-,3,88-90 Mph,65,80,-,Normal (3/4),Normal,NEU,25,30,20,20,25,20,25,25,25,35,20,45,35,35,20,35,35,Slot,Very Easy,High
55320,SP,Eddie Hayden,19,Normal,Low,Low,R,R,20,25,25,30,40,20,-,40,-,-,-,-,-,-,-,3,85-87 Mph,55,70,-,Normal (3/4),Normal,FB,30,25,20,25,40,20,20,25,35,45,20,30,30,35,25,25,25,Slot,Easy,High
55370,SP,Josh Hudson,19,Durable,Normal,Low,L,L,20,30,30,30,45,25,-,-,45,-,-,-,-,-,-,3,84-86 Mph,75,70,-,Normal (3/4),Normal,NEU,25,30,20,25,25,20,20,35,30,40,20,20,30,30,20,20,20,Slot,Very Easy,Very High
55415,2B,Dave Kahn,19,Normal,Normal,Normal,S,R,25,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,EX FB,55,50,35,25,70,20,20,50,60,40,65,30,50,30,35,30,20,Slot,Normal,Very High
55424,SP,Jamie Bramlitt,19,Durable,Normal,Low,R,R,20,30,30,50,35,45,-,25,-,-,-,40,-,-,-,4,84-86 Mph,50,70,-,Sidearm,Normal,NEU,20,30,20,20,25,20,20,30,25,45,25,25,30,20,20,20,25,Slot,Very Easy,High
55453,SP,Jesus Robles,19,Fragile,Normal,Normal,L,R,20,30,25,35,40,45,40,25,-,-,-,-,-,-,-,4,84-86 Mph,30,60,-,Over the Top,Normal,FB,35,25,30,25,45,20,20,25,35,45,35,40,30,35,20,20,20,Slot,Normal,Very High
55478,CF,Michael Hall,19,Normal,Normal,Normal,L,R,25,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,45,50,20,35,65,20,20,45,40,40,40,45,45,40,50,50,40,Slot,Easy,High
55572,C,Pat Spiller,19,Normal,Normal,Low,R,R,20,40,25,35,55,20,60,-,-,-,-,-,-,-,-,3,88-90 Mph,60,40,-,Normal (3/4),Normal,NEU,20,30,20,25,25,35,30,25,25,30,20,20,35,25,20,20,20,Slot,Easy,Very High
55615,SP,David Holland,18,Normal,Normal,Low,L,R,20,35,25,30,50,25,-,-,45,-,-,-,-,-,-,3,88-90 Mph,45,70,-,Normal (3/4),Normal,FB,30,30,25,20,40,20,20,30,25,45,25,35,35,45,20,20,20,Slot,Normal,Very High
55644,SP,Jordan Cooks,19,Normal,Normal,Normal,S,R,20,35,30,25,45,50,-,-,-,-,45,-,-,-,-,3,86-88 Mph,35,60,-,Over the Top,Normal,NEU,25,30,20,25,30,20,20,30,30,55,30,35,30,25,25,20,20,Slot,Easy,High
55674,SP,Sam Mosel,19,Normal,High,Normal,S,R,20,30,25,20,50,35,-,-,-,40,-,-,-,-,-,3,85-87 Mph,25,65,-,Normal (3/4),Normal,NEU,20,30,20,20,25,25,20,35,25,50,40,30,25,20,30,20,30,Slot,Easy,Very High
55692,C,Jeremy Boyer,18,Normal,High,Normal,R,R,25,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,EX FB,40,70,50,45,45,35,35,30,30,35,30,35,25,35,25,25,20,Slot,Normal,Very High
55704,SP,Andres Fernandez,19,Durable,Normal,High,R,R,20,35,30,20,-,20,-,65,-,-,45,-,-,-,-,3,88-90 Mph,70,70,-,Over the Top,Normal,NEU,25,30,20,20,30,20,20,25,30,35,25,30,25,35,20,20,20,Slot,Very Easy,High
55707,RP,Ken Egan,19,Durable,Low,Normal,R,R,20,30,25,25,35,50,35,-,-,-,-,-,-,-,-,3,83-85 Mph,20,40,-,Normal (3/4),Normal,FB,30,30,25,20,45,20,20,20,25,60,25,25,40,25,25,20,25,Slot,Normal,Very High
56024,C,Nate Moline,19,Durable,Normal,Low,R,R,30,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,35,60,50,45,50,50,45,35,30,40,25,30,35,45,50,40,40,Slot,Very Easy,Very High
56029,SP,Hipólito Fanning,19,Durable,High,Normal,L,L,20,40,30,35,55,25,65,-,-,-,-,-,-,-,-,3,88-90 Mph,65,70,-,Over the Top,Normal,NEU,25,30,20,20,30,20,20,30,20,55,20,25,30,40,25,20,25,Slot,Hard,Very High
56064,SP,VINCE DAWKINS,22,Normal,Normal,High,L,L,50,45,45,50,55,55,-,-,-,55,60,-,-,-,-,4,95-97 Mph,70,80,-,Normal (3/4),Power,NEU,40,25,25,20,60,20,20,40,30,55,20,30,45,40,30,30,20,$2.2m,Easy,Very High
56103,SS,Dylan Reynolds,23,Durable,High,High,R,R,25,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,30,45,45,40,40,20,20,60,45,45,55,60,50,45,60,40,40,$110k,Easy,High
56147,SP,Randy Maiuri,23,Durable,Low,Low,R,R,20,35,30,30,40,35,40,40,-,-,-,40,35,-,-,6,87-89 Mph,65,60,-,Over the Top,Normal,FB,25,25,20,25,25,20,25,35,25,55,25,40,30,30,30,20,20,Slot,Easy,Very High
56158,SP,Luis Manzo,19,Durable,Normal,Normal,R,L,20,40,40,40,50,-,55,55,-,-,-,-,-,-,-,3,86-88 Mph,70,65,-,Normal (3/4),Normal,NEU,35,30,20,25,45,20,20,30,30,55,20,30,35,30,25,20,25,Slot,Easy,Very High
56181,SP,Pat Gove,22,Normal,Normal,Low,R,R,20,35,25,35,45,45,-,45,-,-,-,-,-,-,-,3,88-90 Mph,65,60,-,Over the Top,Normal,FB,25,25,20,20,30,20,20,35,30,50,30,30,25,30,25,25,20,Slot,Very Easy,Very High
56193,SP,Steve Kelley,18,Normal,Low,Low,S,R,20,35,30,35,-,35,-,-,45,-,45,-,-,-,-,3,86-88 Mph,45,70,-,Normal (3/4),Normal,NEU,20,30,20,25,25,20,20,25,40,45,35,25,35,25,30,25,30,Slot,Easy,Very High
56219,SP,Josh Galbraith,19,Normal,Normal,Low,R,L,20,25,30,30,40,25,-,45,-,-,-,-,-,-,-,3,83-85 Mph,65,55,-,Normal (3/4),Normal,NEU,30,30,20,20,45,20,20,30,20,50,20,35,35,35,20,20,20,Slot,Easy,Very High
56251,SS,JONATHAN HEDGEPETH,21,Normal,Normal,High,R,R,35,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,50,60,40,30,60,20,20,60,60,60,40,50,40,55,65,50,50,Slot,Very Easy,Very High
56288,SP,Joe Hartlage,22,Durable,Normal,Normal,R,R,20,30,25,30,-,50,-,30,-,-,30,40,-,-,-,4,87-89 Mph,60,70,-,Normal (3/4),Normal,NEU,25,30,20,20,30,20,20,35,35,45,20,35,30,35,30,20,20,Slot,Very Easy,High
56295,SP,Cary Waugh,22,Normal,Low,Low,R,L,20,35,30,35,-,45,45,-,-,-,40,35,-,-,-,4,86-88 Mph,70,65,-,Normal (3/4),Normal,NEU,20,25,25,25,25,20,20,35,25,40,20,55,25,25,25,25,30,Slot,Very Easy,Very High
56334,C,Luis Renteria,19,Normal,Normal,Normal,R,R,20,30,30,40,-,-,50,45,-,-,40,-,-,-,-,3,83-85 Mph,60,25,-,Normal (3/4),Normal,NEU,30,30,25,45,40,50,50,35,35,45,20,35,40,45,20,30,25,Slot,Normal,High
56357,C,Kevin Golle,18,Durable,Low,Low,S,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,FB,30,40,30,40,45,50,45,30,35,40,25,25,25,45,20,25,20,Slot,Normal,Very High
56358,SP,Jeff Story,18,Normal,Low,Normal,L,L,20,30,30,40,40,40,50,25,-,-,-,-,-,-,-,4,83-85 Mph,75,50,-,Over the Top,Normal,NEU,25,25,20,25,40,20,20,25,35,55,20,30,20,30,30,25,20,Slot,Extremely Hard,Very High
56359,SS,Ken Evanson,18,Normal,Normal,Normal,R,R,25,20,25,25,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,40,45,25,35,60,20,20,50,50,70,50,55,45,70,60,55,55,Slot,Hard,High
56360,SS,Jeremy Horstmann,18,Normal,Normal,Normal,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,30,35,25,40,45,20,20,55,55,50,50,35,40,50,60,50,60,Slot,Extremely Hard,Very High
56361,SP,Danny Del Pizzo,18,Durable,Low,Normal,R,R,20,25,55,55,-,35,-,35,45,-,-,-,-,-,-,3,83-85 Mph,30,70,-,Normal (3/4),GB'er,EX GB,30,25,20,20,45,20,20,30,30,55,30,45,35,35,25,20,20,Slot,Hard,Very High
56362,SP,Nate Gilday,18,Durable,Normal,Normal,R,R,20,40,35,45,60,20,-,-,50,-,-,-,-,-,-,3,90-92 Mph,50,75,-,Normal (3/4),Normal,NEU,30,30,25,20,35,20,25,25,30,50,25,30,20,35,30,20,20,Slot,Hard,Very High
56363,CF,Jim Wells,17,Durable,Normal,Normal,R,L,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,30,35,20,45,45,20,25,35,30,40,20,55,45,45,45,50,35,Slot,Extremely Hard,Very High
56364,C,Jesus Pacheco,18,Normal,Normal,Low,S,R,20,20,25,25,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,30,45,40,45,30,50,45,30,35,40,25,30,40,40,25,20,25,Slot,Extremely Hard,Very High
56365,SP,Steve Andrews,18,Normal,Normal,Normal,R,R,30,45,50,45,60,30,55,55,-,-,-,-,-,-,-,4,91-93 Mph,65,35,-,Normal (3/4),GB'er,GB,25,40,20,25,30,20,20,30,35,40,30,25,30,30,25,20,20,$650k,Extremely Hard,Very High
56366,SP,Nate Whalley,18,Normal,Normal,Normal,R,R,20,40,30,40,50,-,50,-,-,50,-,-,-,-,-,3,90-92 Mph,60,70,-,Over the Top,Normal,NEU,25,30,20,25,25,20,20,30,25,45,25,30,30,50,25,20,20,Slot,Extremely Hard,Very High
56367,SP,Juan Miller,17,Durable,Normal,Normal,R,L,20,35,35,45,50,20,-,-,-,50,-,-,-,-,-,3,86-88 Mph,50,50,-,Normal (3/4),Normal,NEU,30,25,20,25,35,20,20,30,25,50,20,40,30,35,25,20,25,Slot,Extremely Hard,High
56368,C,Nate Stice,18,Durable,Low,High,L,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,FB,30,50,35,35,45,45,35,25,25,25,25,30,25,25,30,30,35,Slot,Extremely Hard,Very High
56369,CF,Chris Nagle,18,Normal,Normal,Low,R,R,30,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,FB,45,45,35,50,50,20,20,50,35,30,35,60,40,45,50,30,30,Slot,Extremely Hard,Very High
56370,SP,Chris Hinkle,18,Normal,Normal,High,L,L,20,35,25,40,50,25,-,50,-,-,-,-,-,-,-,3,88-90 Mph,65,60,-,Over the Top,Normal,NEU,30,30,25,20,50,20,20,30,30,50,20,35,30,35,25,20,25,Slot,Extremely Hard,Very High
56371,SP,Dave Valdez,18,Durable,Normal,Normal,S,R,40,45,40,50,65,-,55,60,-,-,-,-,-,-,-,3,92-94 Mph,45,60,-,Normal (3/4),Normal,NEU,30,30,20,20,50,25,20,30,35,55,20,50,30,35,30,20,20,$700k,Extremely Hard,Very High
56372,SP,Ben Koesler,18,Normal,Low,Normal,L,L,20,40,35,30,60,25,-,60,-,-,-,-,-,-,-,3,90-92 Mph,75,65,-,Over the Top,Normal,NEU,40,30,20,25,60,20,20,30,30,45,20,35,20,40,20,20,20,Slot,Extremely Hard,Very High
56373,SP,Kris Sinclair,18,Normal,Normal,Normal,R,R,35,45,50,45,60,65,55,-,-,-,-,-,-,-,-,3,90-92 Mph,65,55,-,Normal (3/4),Normal,NEU,35,30,20,25,50,20,20,25,30,55,20,35,30,40,20,25,30,$850k,Hard,Very High
56374,3B,Mike Guevara,18,Normal,Normal,Low,R,R,25,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,30,40,55,55,35,20,20,50,45,65,40,35,50,60,40,30,30,Slot,Extremely Hard,Very High
56375,SP,Yochanan Goldenberg,17,Normal,Normal,Normal,R,R,35,45,55,55,65,-,70,-,-,-,-,-,-,-,-,2,90-92 Mph,30,55,-,Normal (3/4),Normal,NEU,45,50,30,45,55,20,25,30,30,40,20,50,45,35,40,45,40,$500k,Extremely Hard,Very High
56376,3B,Chris Posey,18,Durable,Normal,Normal,S,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,25,50,65,45,25,20,20,40,50,65,30,35,40,65,35,35,40,Slot,Extremely Hard,High
56377,CF,Davin Schrader,18,Durable,Normal,Low,R,R,30,20,25,25,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,45,50,40,45,55,20,20,50,35,40,35,55,35,55,45,55,55,Slot,Extremely Hard,Very High
56378,2B,Rory Katz,18,Durable,Normal,Normal,S,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,NEU,35,60,50,40,45,20,20,45,45,35,55,50,45,30,45,50,50,Slot,Normal,Very High
56379,3B,MIKE WALLACE,18,Normal,Normal,Normal,R,R,30,30,30,35,45,25,60,-,-,-,-,-,-,-,-,3,85-87 Mph,30,50,-,Normal (3/4),Normal,NEU,35,35,50,50,50,20,20,60,50,65,40,75,50,65,40,40,50,Slot,Hard,Very High
56380,SP,Dan Azbill,18,Normal,Normal,Normal,R,R,20,50,35,40,50,60,-,55,-,-,50,55,-,-,-,5,90-92 Mph,50,35,-,Normal (3/4),Normal,NEU,25,25,20,20,30,20,20,35,25,70,20,60,25,40,20,20,25,$550k,Extremely Hard,Very High
56381,LF,Eddie Hollaway,18,Normal,Normal,High,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,40,40,35,50,45,20,20,30,30,50,30,35,40,55,40,50,45,Slot,Extremely Hard,Very High
56382,SP,Danny Awtrey,18,Normal,Normal,Low,L,L,20,40,25,25,45,-,50,55,-,-,-,-,-,-,-,3,88-90 Mph,65,75,-,Over the Top,Normal,NEU,25,25,25,20,30,20,20,30,25,40,20,25,25,45,25,20,20,Slot,Extremely Hard,Very High
56383,SP,Bobby McCullough,17,Normal,Normal,High,R,R,20,30,30,35,-,-,50,40,-,-,40,-,-,-,-,3,88-90 Mph,30,65,-,Normal (3/4),Normal,NEU,25,30,20,20,30,20,20,30,25,40,25,35,25,25,30,20,30,Slot,Extremely Hard,High
56384,SP,Steve Torre,18,Normal,Normal,Low,R,R,20,30,25,35,45,-,45,50,-,-,-,-,-,-,-,3,84-86 Mph,60,60,-,Normal (3/4),Normal,NEU,20,25,20,20,20,20,20,30,30,40,25,20,25,30,25,25,20,Slot,Normal,High
56385,1B,Joe Ladwig,18,Normal,Normal,High,R,R,35,20,25,25,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,FB,35,50,65,50,45,20,20,35,35,35,20,30,35,25,20,20,20,Impossible,Impossible,Very High
56386,C,Eric Kelley,18,Normal,High,Low,S,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,FB,30,30,30,45,40,50,55,30,30,55,20,25,30,50,25,45,40,Slot,Extremely Hard,High
56387,SP,Josh Weaver,18,Normal,Normal,Normal,R,R,20,35,25,35,45,30,55,-,-,-,-,-,-,-,-,3,85-87 Mph,60,55,-,Normal (3/4),Normal,FB,35,30,20,25,55,25,20,25,25,45,25,30,30,35,25,25,20,Slot,Extremely Hard,Very High
56388,CF,Joe Snure,17,Normal,High,Normal,L,L,30,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,45,45,30,35,60,20,20,45,40,35,20,60,55,50,55,45,55,Impossible,Impossible,High
56389,SP,TOBY RUTTER,18,Durable,Low,Normal,R,R,50,50,55,55,-,50,-,55,-,40,65,-,-,-,-,4,90-92 Mph,45,45,-,Normal (3/4),Normal,NEU,30,30,20,25,45,20,20,30,35,40,25,20,25,30,25,30,30,$4.2m,Normal,Very High
56390,SP,DAN ROSSELLI,18,Durable,Low,Normal,R,R,45,45,50,55,55,60,-,55,-,-,-,-,-,-,-,3,89-91 Mph,45,65,-,Normal (3/4),Normal,NEU,35,30,30,25,50,20,20,35,35,50,25,40,20,25,20,20,30,$950k,Extremely Hard,Very High
56391,SP,Tim Ford,18,Normal,High,High,R,R,20,25,55,35,40,25,-,50,-,-,-,-,-,-,-,3,83-85 Mph,50,70,-,Normal (3/4),Normal,NEU,25,30,25,25,30,20,25,25,20,50,45,30,45,30,25,20,20,Slot,Extremely Hard,High
56392,CF,Walt Held,18,Durable,Normal,Normal,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Sidearm,Normal,EX FB,35,55,20,40,50,20,20,40,30,40,30,55,45,45,55,50,35,Slot,Extremely Hard,High
56393,SP,Mike Ballou,18,Normal,Normal,Normal,L,R,35,45,50,50,-,55,-,55,-,40,50,-,-,-,-,4,86-88 Mph,45,50,-,Normal (3/4),Normal,NEU,35,25,20,20,45,20,20,30,30,50,25,35,30,25,25,20,20,$700k,Extremely Hard,Very High
56394,SP,Mike Pendleton,18,Normal,High,Normal,R,R,20,45,45,40,65,25,-,65,-,-,-,-,-,-,-,3,92-94 Mph,65,60,-,Over the Top,Normal,NEU,30,30,20,20,35,20,20,35,20,50,20,30,30,25,35,25,35,Slot,Extremely Hard,High
56395,SP,Mike Kilgore,18,Durable,High,High,R,R,20,40,25,40,-,65,45,25,-,-,35,-,-,-,-,4,86-88 Mph,45,65,-,Over the Top,Normal,FB,25,30,20,20,35,20,20,30,30,55,25,35,20,35,25,30,40,Slot,Extremely Hard,Very High
56396,SP,Matt Sutton,18,Normal,Normal,Normal,R,R,20,40,30,35,50,30,65,-,-,-,-,-,-,-,-,3,88-90 Mph,40,60,-,Normal (3/4),Normal,NEU,25,25,20,25,25,20,20,25,35,40,20,35,25,35,25,25,30,Impossible,Impossible,High
56397,CF,Cesar Nunez,18,Normal,Normal,Normal,R,R,25,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,EX FB,40,45,45,45,50,20,20,45,35,40,40,55,40,50,45,50,40,Slot,Extremely Hard,Very High
56398,SP,Greg Nunamaker,17,Normal,High,Normal,L,R,20,35,25,40,-,25,55,-,-,-,50,-,-,-,-,3,86-88 Mph,50,65,-,Normal (3/4),Normal,NEU,35,25,25,25,50,20,20,25,40,35,25,35,30,40,25,25,20,Impossible,Impossible,High
56399,SP,Tim Pittman,18,Normal,Low,Normal,L,R,30,45,50,45,50,-,65,60,-,-,-,-,-,-,-,3,88-90 Mph,40,45,-,Over the Top,Normal,NEU,20,30,20,25,25,20,20,30,35,40,25,40,25,35,35,20,20,$600k,Hard,Very High
56400,C,Doug Tumbleson,18,Normal,Normal,Normal,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,40,50,40,40,55,45,45,30,30,45,25,30,35,40,35,40,20,Slot,Extremely Hard,Very High
56401,C,Jesus Reynoso,17,Normal,Normal,Low,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,30,25,25,40,40,45,50,35,25,35,20,35,20,35,25,25,30,Slot,Hard,High
56402,SP,Joe Coker,18,Normal,Normal,Normal,R,R,20,40,30,35,45,60,-,55,-,-,-,-,-,-,-,3,85-87 Mph,45,45,-,Normal (3/4),Normal,NEU,25,30,25,30,30,20,20,30,25,55,25,30,30,45,25,25,25,Slot,Extremely Hard,Very High
56403,3B,Gabe Bridges,18,Durable,High,Normal,R,R,20,20,25,25,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,EX FB,30,35,40,55,40,20,20,40,40,65,30,40,35,60,35,30,20,Slot,Extremely Hard,High
56404,CF,Ian Weinerman,18,Normal,Normal,Low,S,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,30,40,30,45,45,20,20,45,30,65,35,50,50,75,45,60,55,Slot,Extremely Hard,High
56405,SS,Andy Payton,17,Fragile,Normal,High,L,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,NEU,35,35,25,40,50,20,20,50,55,40,50,50,50,50,65,55,50,Slot,Extremely Hard,Very High
56406,SP,Doug Bechtel,18,Normal,Normal,Normal,R,R,20,40,30,40,60,25,-,60,-,-,-,-,-,-,-,3,91-93 Mph,55,70,-,Normal (3/4),Normal,NEU,30,30,20,20,50,20,20,30,20,60,20,35,30,35,20,20,20,Slot,Extremely Hard,Very High
56407,SP,Kevin Prinz,17,Normal,Normal,High,L,L,20,40,30,40,50,55,-,60,-,-,-,-,-,-,-,3,86-88 Mph,80,50,-,Normal (3/4),Normal,NEU,30,25,20,25,40,20,20,30,35,45,20,25,25,25,25,20,20,Slot,Extremely Hard,Very High
56408,SP,LUIS PINA,18,Durable,Normal,High,L,L,55,50,60,60,60,-,60,65,-,-,-,-,-,-,-,3,91-93 Mph,60,50,-,Normal (3/4),GB'er,GB,30,30,30,25,35,25,20,30,30,45,20,50,35,45,20,20,20,$2.0m,Extremely Hard,Very High
56409,SP,JOSH JENKINS,17,Normal,Normal,Normal,R,R,35,45,55,60,65,20,65,-,-,-,-,-,-,-,-,3,90-92 Mph,30,55,-,Over the Top,Normal,NEU,30,30,25,20,40,20,20,40,20,50,25,30,20,30,30,20,20,$550k,Extremely Hard,Very High
56410,CF,Caleb Humble,18,Normal,Normal,Normal,R,R,30,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,40,50,50,40,50,20,20,50,35,35,35,60,40,50,70,40,30,$550k,Extremely Hard,Very High
56411,SP,Phil Aubuchon,18,Normal,Normal,Normal,S,L,20,35,30,40,50,50,-,45,-,-,-,35,-,-,-,4,88-90 Mph,50,55,-,Normal (3/4),Normal,NEU,35,30,20,25,50,20,20,30,35,50,20,40,30,25,25,20,25,Impossible,Impossible,Very High
56412,RP,Tristian Burroughs,18,Normal,Low,Normal,S,R,20,35,30,35,45,25,-,-,40,-,-,-,-,-,-,3,86-88 Mph,45,50,-,Normal (3/4),Normal,NEU,20,30,20,30,20,20,20,30,35,50,20,30,25,40,30,20,25,Slot,Normal,Very High
56413,SP,Rob Stewart,18,Durable,Normal,Normal,R,R,20,35,25,35,40,25,50,-,-,-,-,40,-,-,-,4,85-87 Mph,50,55,-,Normal (3/4),Normal,NEU,25,30,25,30,30,20,20,35,20,30,20,30,25,50,20,20,20,Slot,Hard,High
56414,SP,Jim Perdue,18,Normal,High,Normal,L,R,20,40,40,45,55,20,-,-,55,-,-,-,-,-,-,3,87-89 Mph,45,50,-,Over the Top,Normal,NEU,25,30,20,20,35,20,20,30,30,45,20,25,30,35,25,20,20,Slot,Extremely Hard,Very High
56415,SP,Kevin Schweihs,18,Durable,Low,Normal,R,R,30,45,55,55,65,25,65,-,-,-,-,-,-,-,-,3,91-93 Mph,25,65,-,Over the Top,Normal,NEU,30,30,20,20,40,25,20,30,20,50,25,25,25,45,20,20,30,Slot,Hard,Very High
56416,CF,Chris McKee,18,Normal,Low,Low,S,L,20,20,25,25,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,FB,35,35,30,50,45,20,20,35,25,50,20,45,35,55,45,40,25,Slot,Hard,Very High
56417,SP,Josh Pallares,17,Normal,Normal,Low,L,L,20,30,30,40,45,20,-,-,45,-,-,-,-,-,-,3,89-91 Mph,70,55,-,Normal (3/4),Normal,NEU,35,25,20,25,50,20,20,25,25,40,20,30,30,30,25,20,20,Slot,Hard,Very High
56418,SP,Josh Knott,17,Normal,Normal,Low,R,R,20,30,25,40,-,30,-,55,-,-,45,-,-,-,-,3,80-83 Mph,55,60,-,Normal (3/4),Normal,NEU,40,25,30,20,55,20,20,35,30,50,25,25,30,35,20,20,25,Slot,Hard,High
56419,SP,Jeff Oglesby,18,Fragile,Normal,Normal,R,R,35,40,50,45,50,45,-,45,-,-,-,55,-,-,-,4,91-93 Mph,40,65,-,Over the Top,GB'er,GB,30,30,20,25,35,20,20,30,35,40,20,35,30,35,30,20,20,$950k,Hard,Very High
56420,SP,Jamie Valdes,17,Durable,Normal,Low,R,R,20,35,30,25,-,30,55,-,-,-,50,-,-,-,-,3,85-87 Mph,60,70,-,Over the Top,Normal,NEU,30,25,20,20,40,20,20,45,30,60,25,35,35,40,25,20,30,Slot,Extremely Hard,Very High
56421,2B,Dylan Green,18,Fragile,Low,Normal,R,R,25,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,EX FB,45,50,35,35,55,20,25,55,45,55,45,40,60,50,40,40,20,$500k,Extremely Hard,High
56422,SP,Tim Fowlkes,18,Durable,Low,Normal,R,L,20,30,25,40,40,40,45,-,-,-,-,30,-,-,-,4,86-88 Mph,70,70,-,Normal (3/4),Normal,FB,20,25,20,20,25,20,20,30,30,45,20,45,40,30,35,20,20,Slot,Hard,Very High
56423,SP,Sam Meek,18,Normal,Low,Low,L,L,20,35,30,40,50,55,-,40,-,-,-,-,-,-,-,3,88-90 Mph,60,60,-,Normal (3/4),Normal,NEU,25,30,20,20,25,20,20,35,25,45,25,35,25,30,25,25,20,Slot,Extremely Hard,Very High
56424,SP,Chris Myerson,18,Normal,Normal,Normal,R,R,20,35,25,35,40,50,-,50,-,-,-,-,-,-,-,3,86-88 Mph,55,60,-,Over the Top,Normal,FB,20,30,20,25,25,20,20,30,30,45,20,45,30,30,25,20,20,Slot,Extremely Hard,High
56425,CF,Zach Bratic,18,Durable,Normal,Low,L,L,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,NEU,40,35,25,50,50,20,20,40,30,30,20,55,45,40,40,25,20,Slot,Hard,Very High
